Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress
Walking,2020-12-04 10:31:47,false,"Linz Walking","3.70","276","00:55:42","132","177","100","158","15:04","3:04","83","104","0.67","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","55:42","0:00","0.0","0:00","No","10:32.42","4","0.0","--","--","--","--","--","--","--"
Breathwork,2020-12-01 11:10:04,false,"Meditation","0.00","--","00:09:22.4","76","92","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","9:22.4","0:00","0.0","0:00","No","00:00.35","160","0.0","5","4","8","-46","66","20","24"
Breathwork,2020-11-30 21:02:16,false,"Relax and Focus","0.00","--","00:05:29.4","98","106","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","5:29.4","0:00","0.0","0:00","No","00:02.43","101","0.0","4","4","4","-8","87","79","83"
Cardio,2020-11-30 20:09:43,false,"Pepimuf & Co","0.00","300","00:51:43","136","173","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","6","1","51:43","0:00","0.0","0:00","No","51:42.70","1","0.0","--","--","--","--","--","--","--"
Walking,2020-11-30 15:37:49,false,"Linz Walking","3.21","158","00:48:31","96","113","103","158","15:08","7:50","93","62","0.64","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","48:31","0:00","0.0","0:00","No","03:08.85","4","0.0","--","--","--","--","--","--","--"
Walking,2020-11-27 11:26:23,false,"Linz Walking","5.26","343","01:34:01","117","163","75","177","17:53","4:04","86","81","0.87","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","1:34:01","0:00","0.0","0:00","No","03:27.63","6","0.0","--","--","--","--","--","--","--"
Walking,2020-11-25 17:51:19,false,"Linz Walking","3.77","198","00:57:44","106","123","99","220","15:17","9:45","82","72","0.66","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","57:44","0:00","0.0","0:00","No","12:15.75","4","0.0","--","--","--","--","--","--","--"
Walking,2020-11-23 17:54:42,false,"Linz Walking","2.65","154","00:45:52","99","119","86","203","17:20","11:36","23","36","0.67","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","45:52","0:00","0.0","0:00","No","10:12.41","3","0.0","--","--","--","--","--","--","--"
Walking,2020-11-21 12:53:33,false,"Linz Walking","5.25","290","01:17:29","114","132","90","231","14:46","6:28","142","73","0.76","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","1:17:29","0:00","0.0","0:00","No","03:56.80","6","0.0","--","--","--","--","--","--","--"
Running,2020-11-17 12:46:57,false,"Linz Running","3.19","214","00:21:51","178","193","164","188","6:51","5:00","66","86","0.88","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","21:51","0:00","0.0","0:00","No","01:08.58","4","0.0","--","--","--","--","--","--","--"
Strength Training,2020-11-15 20:15:34,false,"Kickboxen","0.00","131","00:30:00","--","--","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","30:00","0:00","0.0","0:00","No","00:00.00","1","0.0","--","--","--","--","--","--","--"
Strength Training,2020-11-14 16:37:23,false,"Pepimuf ","0.00","517","01:21:03","141","174","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","9","2","1:21:03","0:00","0.0","0:00","No","01:21:02.56","1","0.0","--","--","--","--","--","--","--"
Walking,2020-11-14 12:49:59,false,"Linz Walking","3.37","189","00:53:20","108","123","82","220","15:50","7:32","97","64","0.78","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","53:20","0:00","0.0","0:00","No","05:04.17","4","0.0","--","--","--","--","--","--","--"
Walking,2020-11-10 16:54:11,false,"Linz Walking","1.11","57","00:14:01","115","125","109","125","12:36","10:57","43","6","0.73","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","14:01","0:00","0.0","0:00","No","01:25.77","2","0.0","--","--","--","--","--","--","--"
Walking,2020-11-09 19:25:53,false,"Linz Walking","1.69","115","00:28:44","99","125","73","243","16:59","9:33","195","73","0.83","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","28:44","0:00","0.0","0:00","No","08:07.16","2","0.0","--","--","--","--","--","--","--"
Strength Training,2020-11-07 08:24:47,false,"Pepimuf","0.00","228","00:29:30","148","172","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","8","1","29:30","0:00","0.0","0:00","No","29:29.100","1","0.0","--","--","--","--","--","--","--"
Breathwork,2020-11-07 08:04:54,false,"Meditate","0.00","13","00:11:18","77","93","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","1","11:18","0:00","0.0","0:00","No","11:18.19","1","0.0","12","9","15","-13","24","11","20"
Running,2020-11-06 15:21:02,false,"Linz Running","2.54","168","00:30:39","131","153","115","248","12:04","6:34","104","132","0.72","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","30:39","0:00","0.0","0:00","No","05:51.86","3","0.0","--","--","--","--","--","--","--"
Walking,2020-11-06 12:41:47,false,"Linz Walking","0.99","51","00:12:08","109","128","109","121","12:13","10:38","15","45","0.75","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","12:08","0:00","0.0","0:00","No","12:07.91","1","0.0","--","--","--","--","--","--","--"
Walking,2020-11-06 12:14:21,false,"Linz Walking","0.89","44","00:10:40","106","118","104","126","11:56","10:02","24","5","0.81","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","10:40","0:00","0.0","0:00","No","10:39.91","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-11-05 00:24:49,false,"Hanover Cycling","4.06","104","00:17:15","126","147","--","--","14.1","25.3","7","10","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","17:15","0:00","0.0","0:00","No","17:15.12","1","0.0","--","--","--","--","--","--","--"
Cycling,2020-11-04 20:18:13,false,"Hanover Cycling","3.54","55","00:12:03","112","124","--","--","17.6","30.8","28","8","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","12:03","0:00","0.0","0:00","No","12:03.15","1","0.0","--","--","--","--","--","--","--"
Walking,2020-11-04 12:33:28,false,"Hanover Walking","3.57","167","00:42:13","110","123","99","244","11:49","6:01","71","6","0.86","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","42:13","0:00","0.0","0:00","No","05:34.62","4","0.0","--","--","--","--","--","--","--"
Walking,2020-11-01 15:24:38,false,"Hanover Walking","1.27","62","00:12:50","117","131","122","177","10:04","7:14","2","41","0.81","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","12:50","0:00","0.0","0:00","No","02:56.59","2","0.0","--","--","--","--","--","--","--"
Walking,2020-11-01 10:13:34,false,"Hanover Walking","1.10","57","00:15:21","117","128","91","146","13:58","11:36","4","31","0.79","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","15:21","0:00","0.0","0:00","No","01:41.44","2","0.0","--","--","--","--","--","--","--"
Running,2020-10-31 09:12:28,false,"Hanover Running","0.58","33","00:06:18.9","127","135","118","131","10:58","8:40","120","--","0.77","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","6:18.9","0:00","0.0","0:00","No","06:18.91","1","0.0","--","--","--","--","--","--","--"
Walking,2020-10-28 15:18:15,false,"Hanover Walking","2.15","101","00:24:22","113","125","116","245","11:19","7:00","4","78","0.76","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","24:22","0:00","0.0","0:00","No","01:27.25","3","0.0","--","--","--","--","--","--","--"
Cycling,2020-10-22 21:11:12,false,"Linz Cycling","5.18","174","00:24:35","139","170","--","--","12.6","20.1","33","21","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","24:35","0:00","0.0","0:00","No","01:14.41","2","0.0","--","--","--","--","--","--","--"
Cycling,2020-10-22 18:33:09,false,"Linz Cycling","5.27","114","00:21:35","120","135","--","--","14.7","32.5","52","26","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","21:35","0:00","0.0","0:00","No","01:46.87","2","0.0","--","--","--","--","--","--","--"
Walking,2020-10-17 16:00:02,false,"Linz Walking","1.01","54","00:13:01","113","125","108","118","12:56","11:14","25","--","0.72","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","13:01","0:00","0.0","0:00","No","00:06.61","2","0.0","--","--","--","--","--","--","--"
Walking,2020-10-17 15:13:33,false,"Linz Walking","1.16","33","00:12:07","78","96","125","140","10:24","9:39","18","13","0.77","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","12:07","0:00","0.0","0:00","No","01:44.95","2","0.0","--","--","--","--","--","--","--"
Cycling,2020-10-13 21:06:17,false,"Linz Cycling","5.21","130","00:22:41","126","141","--","--","13.8","22.5","68","12","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","22:41","0:00","0.0","0:00","No","01:18.49","2","0.0","--","--","--","--","--","--","--"
Running,2020-10-13 15:34:50,false,"Linz Running","0.20","10","00:02:13.4","115","118","117","137","11:18","9:21","2","25","0.75","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","2:13.4","0:00","0.0","0:00","No","02:13.40","1","0.0","--","--","--","--","--","--","--"
Walking,2020-10-07 13:08:28,false,"Linz Walking","0.99","52","00:13:09","110","133","102","125","13:17","11:40","17","--","0.74","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","13:09","0:00","0.0","0:00","No","13:08.91","1","0.0","--","--","--","--","--","--","--"
Walking,2020-10-07 12:35:18,false,"Linz Walking","1.05","50","00:13:29","110","119","96","137","12:53","10:05","--","23","0.87","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","13:29","0:00","0.0","0:00","No","00:40.88","2","0.0","--","--","--","--","--","--","--"
Walking,2020-10-06 16:09:23,false,"Linz Walking","1.06","56","00:14:01","117","131","100","134","13:14","9:10","9","4","0.76","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","14:01","0:00","0.0","0:00","No","01:17.05","2","0.0","--","--","--","--","--","--","--"
Walking,2020-10-06 15:50:25,false,"Linz Walking","0.71","33","00:08:54.9","107","127","97","154","12:32","8:56","--","28","0.83","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","--","--","8:54.9","0:00","0.0","0:00","No","08:54.91","1","0.0","--","--","--","--","--","--","--"
